Domain;Receive Time;Serial #;Type;Threat/Content Type;Config Version;Generate Time;Source address;Destination address;NAT Source IP;NAT Destination IP;Rule;Source User;Destination User;Application;Time Logged;Session ID;Repeat Count;Source Port;Destination Port;Flags;IP Protocol;Action;Bytes;Bytes Sent;Bytes Received;Packets;Start Time;Elapsed Time (sec);Category;tpadding;Sequence Number;Action Flags;Source Country;Destination Country;cpadding;Packets Sent;Packets Received;Session End Reason;DG Hierarchy Level 1;DG Hierarchy Level 2;DG Hierarchy Level 3;DG Hierarchy Level 4;Virtual System Name;Device Name;Action Source
1;19/3/23 15:20;16301009303;TRAFFIC;end;2305;19/3/23 15:20;10.200.1.20;10.101.13.8;;;BACKINFRA_TO_ANY_SMB;;;incomplete;19/3/23 15:20;2039318;1;64218;3389;0x1b;tcp;allow;128;64;64;2;19/3/23 15:20;0;any;0;38666412467;0x0;10.0.0.0-10.255.255.255;10.0.0.0-10.255.255.255;0;1;1;tcp-rst-from-server;0;0;0;0;APLICACION_VSYS;FW-PA-3250-TPZ-LIC;from-policy
1;19/3/23 15:20;16301009303;TRAFFIC;end;2305;19/3/23 15:20;10.200.1.20;10.101.13.8;;;BACKINFRA_TO_ANY_SMB;;;incomplete;19/3/23 15:20;61672;1;41208;3389;0x1b;tcp;allow;128;64;64;2;19/3/23 15:20;0;any;0;38666412526;0x0;10.0.0.0-10.255.255.255;10.0.0.0-10.255.255.255;0;1;1;tcp-rst-from-server;0;0;0;0;APLICACION_VSYS;FW-PA-3250-TPZ-LIC;from-policy
1;19/3/23 15:20;16301009303;TRAFFIC;end;2305;19/3/23 15:20;10.200.1.20;10.101.13.8;;;BackInfra_to_ANY;;;incomplete;19/3/23 15:20;402664;1;41208;3389;0x1b;tcp;allow;128;64;64;2;19/3/23 15:20;0;any;0;38666412565;0x0;10.0.0.0-10.255.255.255;10.0.0.0-10.255.255.255;0;1;1;tcp-rst-from-server;0;0;0;0;NAVEGACION_VSYS;FW-PA-3250-TPZ-LIC;from-policy
1;19/3/23 15:20;16301009303;TRAFFIC;end;2305;19/3/23 15:20;10.200.1.20;10.101.13.8;;;BackInfra_to_ANY;;;incomplete;19/3/23 15:20;1261334;1;64218;3389;0x1b;tcp;allow;128;64;64;2;19/3/23 15:20;0;any;0;38666412626;0x0;10.0.0.0-10.255.255.255;10.0.0.0-10.255.255.255;0;1;1;tcp-rst-from-server;0;0;0;0;NAVEGACION_VSYS;FW-PA-3250-TPZ-LIC;from-policy
1;19/3/23 15:20;16301009303;TRAFFIC;drop;2305;19/3/23 15:20;132.148.76.25;52.14.144.171;;;BLOQUEO PUERTOS;;;not-applicable;19/3/23 15:20;0;1;52174;3389;0x0;tcp;drop;60;60;0;1;19/3/23 15:20;0;any;0;38666413791;0x0;United States;Spain;0;1;0;policy-deny;0;0;0;0;VENTA-ONLINE_VSYS;FW-PA-3250-TPZ-LIC;from-policy
1;19/3/23 15:20;16301009303;TRAFFIC;drop;2305;19/3/23 15:20;185.200.116.44;52.14.144.171;;;BLOQUEO PUERTOS;;;not-applicable;19/3/23 15:20;0;1;34681;3389;0x0;tcp;drop;60;60;0;1;19/3/23 15:20;0;any;0;38666415745;0x0;Malaysia;Spain;0;1;0;policy-deny;0;0;0;0;APLICACION_VSYS;FW-PA-3250-TPZ-LIC;from-policy
1;19/3/23 15:20;16301009303;TRAFFIC;drop;2305;19/3/23 15:20;132.148.76.25;52.14.144.171;;;BLOQUEO PUERTOS;;;not-applicable;19/3/23 15:20;0;1;52174;3389;0x0;tcp;drop;60;60;0;1;19/3/23 15:20;0;any;0;38666416224;0x0;United States;Spain;0;1;0;policy-deny;0;0;0;0;VENTA-ONLINE_VSYS;FW-PA-3250-TPZ-LIC;from-policy
1;19/3/23 15:20;16301009303;TRAFFIC;end;2305;19/3/23 15:20;10.200.1.22;10.13.14.5;;;BackInfra_to_ANY;;;incomplete;19/3/23 15:20;794519;1;43707;3389;0x1b;tcp;allow;128;64;64;2;19/3/23 15:20;0;any;0;38666423248;0x0;10.0.0.0-10.255.255.255;10.0.0.0-10.255.255.255;0;1;1;tcp-rst-from-server;0;0;0;0;NAVEGACION_VSYS;FW-PA-3250-TPZ-LIC;from-policy
1;19/3/23 15:20;16301009303;TRAFFIC;end;2305;19/3/23 15:20;10.200.1.22;10.13.14.5;;;BACKINFRA_TO_ANY_SMB;;;incomplete;19/3/23 15:20;1914597;1;43707;3389;0x1b;tcp;allow;128;64;64;2;19/3/23 15:20;0;any;0;38666423409;0x0;10.0.0.0-10.255.255.255;10.0.0.0-10.255.255.255;0;1;1;tcp-rst-from-server;0;0;0;0;APLICACION_VSYS;FW-PA-3250-TPZ-LIC;from-policy
1;19/3/23 15:20;16301009303;TRAFFIC;end;2305;19/3/23 15:20;10.200.1.22;10.13.14.5;;;BACKINFRA_TO_ANY_SMB;;;incomplete;19/3/23 15:20;1340973;1;64791;3389;0x1b;tcp;allow;128;64;64;2;19/3/23 15:20;0;any;0;38666423951;0x0;10.0.0.0-10.255.255.255;10.0.0.0-10.255.255.255;0;1;1;tcp-rst-from-server;0;0;0;0;APLICACION_VSYS;FW-PA-3250-TPZ-LIC;from-policy
